========================================================================================================================,,,,,,,
File Design Information:,,,,,,,
,,,,,,,
Date:       14/09/22,,,,,,,
Time:       15:24,,,,,,,
Revision:   Not in VersionControl,,,,,,,
Variant:    No variations,,,,,,,
Units used: mm,,,,,,,
,,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description
C1,0.1uF,TopLayer,LC-0603_C,52.3459,42.9161,180,Capacitor
C2,0.1uF,TopLayer,LC-0603_C,26.8885,61.7175,360,
C3,0.1uF,TopLayer,LC-0603_C,52.3338,45.0039,180,Capacitor
C4,0.1uF,TopLayer,LC-0603_C,42.6598,56.9602,180,
C5,0.1uF,TopLayer,LC-0603_C,57.594,15.6226,270,C0805
C6,0.1uF,TopLayer,0603_cap_1.66mm,49.7429,59.1595,270,
C7,10uF/16V,TopLayer,CASE-A_3216,47.4521,58.8221,270,Capacitor-P
C8,0.1uF,TopLayer,LC-0603_C,34.6009,76.102,270,
C9,0.1uF,TopLayer,LC-0603_C,47.8263,64.5743,270,
C10,0.1uF,TopLayer,LC-0603_C,176.5234,14.6953,180,ÌùÆ¬µçÈÝ
C11,0.1uF,TopLayer,LC-0603_C,48.2788,70.6801,360,
C12,0.1uF,TopLayer,LC-0603_C,86.7873,42.8847,270,Capacitor
C13,0.1uF,TopLayer,LC-0603_C,181.3754,45.1557,90,ÌùÆ¬µçÈÝ
C14,0.1uF,TopLayer,LC-0603_C,159.5692,45.3593,90,ÌùÆ¬µçÈÝ
C15,100uF/35V,TopLayer,CAP_6.6¡Á6.6,177.2046,54.1495,180,Capacitor-P
C16,100uF/35V,TopLayer,CAP_6.6¡Á6.6,88.8362,31.5534,270,Capacitor-P
C17,10uF/16V,TopLayer,CASE-A_3216,75.6064,58.3356,90,Capacitor-P
C18,0.1uF,TopLayer,LC-0603_C,94.5804,47.5096,90,Capacitor
C19,10uF/16V,TopLayer,CASE-A_3216,88.0117,58.9638,90,Capacitor-P
C20,0.1uF,TopLayer,LC-0603_C,84.3124,57.3612,270,Capacitor
C21,0.1uF,TopLayer,LC-0603_C,78.1435,57.3612,270,Capacitor
C22,100uF/35V,TopLayer,CAP_6.6¡Á6.6,156.3456,54.1495,180,Capacitor-P
C23,0.1uF,TopLayer,LC-0603_C,172.4127,45.1525,90,ÌùÆ¬µçÈÝ
C24,0.1uF,TopLayer,LC-0603_C,151.2013,45.3354,90,ÌùÆ¬µçÈÝ
C25,0.1uF,TopLayer,LC-0603_C,72.5942,15.7162,270,C0805
C26,0.1uF,TopLayer,LC-0603_C,152.5764,14.6953,180,ÌùÆ¬µçÈÝ
C27,0.1nF,TopLayer,LC-0603_C,180.5887,67.3323,90,Capacitor
C28,0.1nF,TopLayer,LC-0603_C,159.2394,67.4045,90,Capacitor
C29,0.1uF,TopLayer,LC-0603_C,184.5323,62.4707,90,Capacitor
C30,0.1uF,TopLayer,LC-0603_C,163.1207,62.6282,90,Capacitor
C31,0.1uF,TopLayer,LC-0603_C,138.6572,45.1728,90,ÌùÆ¬µçÈÝ
C32,0.1uF,TopLayer,LC-0603_C,115.8933,45.1692,90,ÌùÆ¬µçÈÝ
C33,100uF/35V,TopLayer,CAP_6.6¡Á6.6,135.1838,54.1495,180,Capacitor-P
