========================================================================================================================,,,,,,,
File Design Information:,,,,,,,
,,,,,,,
Date:       19/12/23,,,,,,,
Time:       15:40,,,,,,,
Revision:   Not in VersionControl,,,,,,,
Variant:    no dnp,,,,,,,
Units used: mm,,,,,,,
,,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description
R10,10R,TopLayer,0603_R,103.7463,53.1876,180,贴片电阻
C14,10uF/16V,TopLayer,CASE-A_3216,104.6988,55.5498,360,
Y2,12MHz,TopLayer,OSC-SMD_5.0×3.2,131.191,37.6174,270,Crystal Oscillator
P11,USBCOM,TopLayer,USB-A-01,111.346,11.8237,0,
R30,510Ω,TopLayer,0603_R,82.2507,62.103,180,贴片电阻
R29,510Ω,TopLayer,0603_R,82.2507,64.135,180,贴片电阻
Q6,S8050,TopLayer,SOT-23_3,66.7475,30.33,180,
Q5,S8050,TopLayer,SOT-23_3,58.8535,30.33,180,
P10,HT396R-3.96-2P,TopLayer,HT-3.96mm-2P-LC,98.657,10.187,0,
P9,HT396R-3.96-2P,TopLayer,HT-3.96mm-2P-LC,90.537,10.187,0,
P8,HT396R-3.96-2P,TopLayer,HT-3.96mm-2P-LC,82.417,10.187,0,
P6,HT396R-3.96-2P,TopLayer,HT-3.96mm-2P-LC,66.177,10.187,0,
P5,HT396R-3.96-2P,TopLayer,HT-3.96mm-2P-LC,58.057,10.187,0,
P7,HT396R-3.96-2P,TopLayer,HT-3.96mm-2P-LC,74.297,10.187,0,
D6,1N4148,TopLayer,SOD-123-L2.8-W1.8,66.567,21.5646,360,
C21,22pF,TopLayer,0603_C,150.114,19.6977,90,C0805
C20,22pF,TopLayer,0603_C,142.24,19.6723,90,C0805
P13,4PIN,TopLayer,HT-3.96mm-4P-LC,145.9349,10.187,360,
Y1,12MHz,TopLayer,OSC-SMD_5.0×3.2,151.3332,45.0596,270,Crystal Oscillator
U16,USBLC6-2SC6,TopLayer,SOT-23_6,128.6256,27.051,90,
U15,CH340G,TopLayer,SOIC-16_9.9×3.9,137.922,41.402,270,USB
U14,EL817,TopLayer,SOP-4_6.5×4.6,121.2851,33.909,90,KPC357NT
U13,NSi8121N1,TopLayer,SOIC-8_5.0×4.0,138.049,52.324,360,
U12,USBLC6-2SC6,TopLayer,SOT-23_6,138.938,27.051,90,
U11,CH375B,TopLayer,SOIC-28,160.573,52.705,360,USB 总线接口芯片
U10,EL817,TopLayer,SOP-4_6.5×4.6,98.752,27.051,270,KPC357NT
U9,EL817,TopLayer,SOP-4_6.5×4.6,113.6651,26.416,90,KPC357NT
U8,EL817,TopLayer,SOP-4_6.5×4.6,181.71,23.622,270,KPC357NT
U7,EL817,TopLayer,SOP-4_6.5×4.6,173.709,23.622,270,KPC357NT
U6,EL817,TopLayer,SOP-4_6.5×4.6,165.708,23.622,270,KPC357NT
U5,EL817,TopLayer,SOP-4_6.5×4.6,157.961,23.622,270,KPC357NT
U4,STM32F103RCT6,TopLayer,LQFP-64,100.711,68.072,90,MCU
U3,ME6211A33M3G,TopLayer,SOT-23_3,43.411,70.8025,90,LDO
U1,TPS54202DDCR,TopLayer,SOT-23_6,27.181,53.848,0,
R42,10k,TopLayer,0603_R,111.5695,39.0144,180,贴片电阻
R41,2k,TopLayer,0603_R,121.1961,23.9776,180,贴片电阻
R40,1k,TopLayer,0603_R,169.0497,57.531,180,贴片电阻
R39,1k,TopLayer,0603_R,150.8633,55.88,180,贴片电阻
R38,1k,TopLayer,0603_R,150.8633,61.214,360,贴片电阻
R37,10k,TopLayer,0603_R,150.8633,62.865,360,贴片电阻
R36,10R,TopLayer,0603_R,146.9263,30.607,360,贴片电阻
R33,1k,TopLayer,0603_R,99.822,49.9491,90,贴片电阻
R35,1k,TopLayer,0603_R,82.2507,56.007,180,贴片电阻
R34,0R,TopLayer,0603_R,92.6171,22.3647,270,贴片电阻
R32,1k,TopLayer,0603_R,82.2507,58.039,180,贴片电阻
R31,0R,TopLayer,0603_R,84.509,22.3647,270,贴片电阻
R28,0Ω,TopLayer,0603_R,67.4943,25.4,360,贴片电阻
R27,0Ω,TopLayer,0603_R,59.5453,25.527,360,贴片电阻
R25,1k,TopLayer,0603_R,82.2507,60.071,180,贴片电阻
R23,0R,TopLayer,0603_R,76.386,22.3393,90,贴片电阻
R26,10k,TopLayer,0603_R,111.5695,37.2872,180,贴片电阻
R24,10k,TopLayer,0603_R,107.95,20.5867,270,贴片电阻
R22,1k,TopLayer,0603_R,82.2507,66.167,180,贴片电阻
